name,long_description,logo_link,short_description
China Energy Conservation Program (CECP),"A voluntary program aiming to save energy and reduce emissions through stimulating manufacturers to produce more resource efficient products and helping consumers to make more sustainable purchase decisions. Certification/ registration required, Unknown, China Environmental UnitedCertificationCenter, ISO, Government, China Water ConservationCertification, andChina Environmental Labelling",https://www.ecolabelindex.com/files/ecolabel-logos-sized/china-energy-conservation-program-cecp.png,"Energy, China"
China Energy Label,"This is a compulsory scheme created under the Energy Label Administration Regulation.The primary goal is to save energy, improve energy efficiency, regulate product market, create fair market competition, bring consumer's awareness, and ultimately develop an ""energy-saving society"". Certification/ registration required, Unknown, China Energy Label Administration Center, Unknown, Government, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/china-energy-label.png,"Electronics, China"
China Environmental Labelling,"China Environmental Label was initiated by SEPA in 1993. It provides environmental standards for construction materials, textiles, vehicles, cosmetics, electronics, packaging, and more. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, China Environmental UnitedCertificationCenter, ISO, Government, China Water ConservationCertification, andChina Energy Conservation Program (CECP)",https://www.ecolabelindex.com/files/ecolabel-logos-sized/china-envirolabelling.png,"Appliances, Building products, Cleaning products"
China Organic Food Certification,"This is an organic food and product label whose mission is to promote the development of organic agriculture and food in China. Certification/ registration required, Unknown, China Organic FoodCertificationCenter (COFCC), Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/china-organic-food-certification.png,"Food, China"
China Water Conservation Certification,"Water conservation label for Industrial Products; Agricultural Products; Residential Products; Unconventional Water Resources Utilization Products (62 different product categories) Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, China Environmental UnitedCertificationCenter, ISO, Government, China Energy Conservation Program (CECP), andChina Environmental Labelling",https://cprc-clasp.ngo/sites/default/files/styles/widescreen_1920_x_1920/public/policies/label-images/China%20energy%20conservation%20label_9.png?itok=Choi7cqw,"Appliances, Building products, Machinery & Equipment"
CHPS - Collaborative for High Performance Schools,"CHPS is leading a national movement to improve student performance and the entire educational experience by building the best possible schools. CHPS develops tools that help make schools energy, water and material efficient, well-lit, thermally comfortable, acoustically sound, safe, healthy and easy to operate.Resources offered by CHPS include a six-volume best practices manual, training and conferences, a high performance building rating and recognition program and other tools for creating healthy, green schools. Certification/ registration required, Unknown, Collaborative for High Performance Schools, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/chps-collaborative-for-high-performance-schools.png,"Building products, Buildings, United States"
Chão Vivo,"Chao Vivi is an organic food products and production processes label from Brazil, providing a guarantee of origin and assurance of conformity of organic products with national and international standards. Certification/ registration required, Unknown, Associação de Certificação de Produtos Orgânicos do ES, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/chao-vivo.png,"Food, Brazil"
Clean Marine Green Leaf Eco-Rating Program,"The Ontario Marine Operators Association (OMOA) along with over twenty marine industry professionals and Ontario’s boaters’ and anglers’ associations formed the Clean Marine Partnership to develop a voluntary program of ""Environmental Best Practices"" for the marine industry that is recognized as the leader in North America. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Ontario Marine Operators Association, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/omoa-clean-marine-green-leaf-eco-rating-program.png,"Buildings, Other, Canada"
Cleaner and Greener Certification,"The Cleaner & Greener program promotes the reporting and offsetting of emissions by companies, organizations, buildings, events and transportation fleets. Participation level of recognition is gained by reporting emissions. Bronze, Silver and Gold certification are achieved based on the percent of greenhouse gas emissions that are offset. Platinum certification is earned by offsetting 100% of greenhouse gas emissions as well as emissions that affect human health. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Leonardo Academy, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/cleaner-and-greener-certification.png,"Transportation, Canada, Sri Lanka"
Cleaning Industry Management Standard (CIMS),"CIMS is an organizational Standard and certification program that applies to management, operations, performance systems, and processes. The Standard is divided into six areas of management best practices: Quality systems; Service delivery; Human resources; Health, safety, and environmental stewardship; Management commitment; and Green Building (GB). Certification demonstrates that a cleaning organization is managed in accordance with industry best-practices.The CIMS-GB component is designed to help cleaning organizations assist their customers in securing points under the LEED for Existing Buildings: Operations and Maintenance (LEED-EBOM) Green Building Rating System while greening their operations overall. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, ISSA, The Worldwide Cleaning Industry Association, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/cleaning-industry-management-standard-cims.png,"Other, Canada, United States"
Climate Change Action,"The Climate Change Allies Program helps individuals and companies understand the importance of the contribution they can make to improve the global environment and gives them the tools they need to assume responsibility for the CO2 emissions of their vehicles and their companies.
The certificate given to the companies is for ""Actions of green house gasses compensation"".
The compensation is through the planting of native trees.
For individuals, we invite car owners to buy the Program´s eco sticker to compensate the annual car pollution. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Climate Change Alliance Program, Other, Other, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/climate-change-action.png,"Carbon, Carbon offsets, Transportation"
Climate Neutral Certified,"Climate Neutral is an independent non-profit organization on a mission to decrease global emissions through a transparent carbon neutrality certification and consumer-facing product label. In order to earn the Climate Neutral Certified label, companies must measure their Scopes 1-3 emissions, offset them entirely, and implement plans to reduce future emissions. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Climate Neutral, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/climate-neutral-certified.png,['Emissions']
Climate Registered,"The Climate Registry is a non-profit organization that sets consistent and transparent standards to calculate, verify and publicly report greenhouse gas (GHG) emissions into a single registry.The Registry offers different levels of certifications, supports both voluntary and mandatory reporting programs, and provides comprehensive data to reduce GHG emissions.The Registry’s accounting infrastructure supports a wide variety of programs that reduce GHG emissions including voluntary, regulatory and market based programs.The goal of the Climate Registry is to highlight and recognize companies that are taking initiative to voluntarily measure and reduce their emissions in a credible way. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, The Climate Registry, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/climate-registered.png,"Carbon, Canada, Colombia"
Climatop,"The aim of climatop is to label the most climate friendly products and services (best-in-class). Similar products of a product family (functional unit) are compared with respect to their environmental emissions. Products that cause CO2-eq emissions that are generally 20% lower, receive the label. Only products that have an environmental balance, which is at least equal or better than the one of the non-successful competitors, can be labelled. Independent organizations calculate life cycle assessments (LCA) of the products according to the standard ISO 14040. The label is valid for two years. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, climatop, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/climatop.png,"Appliances, Building products, Cleaning products"
CNET Asia Green Tag,"Tech buyers, especially the eco-sensitive, can look out for the CNET Asia Green Tag, awarded to products that have a minimum of two recognized ecolabels. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, CNET Networks Asia Pacific Pte Ltd, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/cnet-asia-green-tag.png,"Electronics, Japan, Singapore"
Compost Label RAL,"The Compost Quality Assurance Organization was founded in order to monitor the quality of compost and digestate products. Through quality control and support of the producers of compost and digestate products in the marketing and application sectors, the organization aims to promote composting and anaerobic digestion as a key element of a sustainable biowaste management.Bundesgütemeinschaft Kompost e.V. (BGK) has provided quality assurance for compost since 1992. In 2000 RAL labels for digestate products from biowaste and for digestate products from renewable energy crops were established.  The RAL label for humus (sewage sludge compost) was introduced in 2003. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Bundesgütemeinschaft Kompost e.V. (BGK), Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/compost-label-ral.png,"Forest products / Paper, Other, Germany"
Compostability Mark of European Bioplastics,"Enables compostable products to be identified by a unique mark and channeled for recovery of their constituent materials in specially developed processes.The Compostability Mark thus conveys product information to waste-disposal plant operators and product image to consumers. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, European Bioplastics, Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/compostability-mark-european-bioplastics.png,"Packaging, Textiles, Waste management & Recycling"
Compostable: Biodegradable Products Institute Label,"The BPI's Compostable Logo identifies products that meet ASTM D6400 (for plastics) or ASTM D6868 (for fibre based applications) and will compost satisfactorily in large scale composting facilities. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Biodegradable Products Institute, Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/compostable-biodegradable-products-institute-label.png,"Forest products / Paper, Packaging, Other"
Coop Naturaline: Switzerland,"For textiles and natural cosmetics made from cotton by controlled biological cultivation according to the guidelines of BIO Suisse or the European Union.  It covers the entire textile chain and undertakes additional pollution testing by external labs and Coop quality safety.Companies who produce the textiles certified COOP Naturaline must meet the basic standards of the International Labour Organization (ILO), be certified at least accoriding to the criteria of the BSCI (Business Social Compliance Initiative), and in the medium term, they must meet the SA 8000 certification.The organic farmers receive a surcharge of at least 20 % on the market price of cotton and 10 % on the market price of cotton derivates. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Coop Switzerland, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/coop-naturaline-switzerland.png,"Cosmetics / Personal care, Textiles, Switzerland"
Cotton Made in Africa,"Cotton made in Africa is an initiative by the Aid by Trade Foundation and follows the principles of a Social Business helping people to help themselves by means of trade.The initiative operates in accordance with sound business methods to improve the conditions of life of a large number of African cotton farmers. The initiatives approach bases on agricultural trainings to further sustainable growing methods and increase farmer’s yields to enable them to improve their condition of life on their own. In cooperation with its partners the initiatives supports educational programs and community projects on a sustainable basis, establishing long-term infrastructure.Cotton made in Africa has set up a 3rd party verified sustainable verification system, including social, environmental an economic criteria as well as an impact assessment to evaluate sustainable development.The initiative is building an alliance of international retail companies, which have targeted demand in the global market for sustainably produced cotton. The goal of Cotton made in Africa is to offer a socially and ecologically sustainable raw material which is compatible with the requirements of the mass market. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Aid by Trade Foundation, Unknown, Non-profit, None.",https://upload.wikimedia.org/wikipedia/commons/8/8f/Cotton_made_in_Africa_%28CmiA%29_Logo.png,"Commodities, United States"
Cradle to Cradle Certified(CM) Products Program,"The Cradle to Cradle Certified(CM) Products Program provides a company with a means to demonstrate efforts in eco-intelligent design. Cradle to Cradle Certification is a third-party sustainability label that requires achievement across multiple attributes:use materials that are safe for human health and the environment through all use phasesproduct and system design for material reutilization, such as recycling or compostinguse of renewable energyefficient use of water, and maximum water quality associated with productioncompany strategies for social responsibility.Cradle to Cradle certification is a four-tiered approach consisting of Basic, Silver, Gold, and Platinum levels. This certification program applies to materials, sub-assemblies and finished products.Cradle to Cradle CertifiedCM is a certification mark sublicensed by the Cradle to Cradle Products Innovation Institute. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Cradle to Cradle Products Innovation Institute, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/cradle-to-cradle-certification.png,"Appliances, Building products, Cleaning products"
CRI Green Label,"In 1992, the Carpet and Rug Institute (CRI) launched its Green Label program to test carpet, cushions and adhesives to help specifiers identify products with very low emissions of VOCs.CRI has recently launched its next series of improvements called Green Label Plus for carpet and adhesives. This enhanced program sets an even higher standard for indoor air quality and ensures that customers are purchasing the very lowest emitting products on the market.  Using scientifically established standards, the Green Label Plus program symbolizes the carpet industry’s commitment to a better environment for living, working, learning and healing. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Carpet & Rug Institute (CRI), Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/cri-green-label.png,"Building products, Textiles, United States"
CSA Sustainable Forest Management,"The CAN/CSA-Z809 SFM chain-of-custody label demonstrates that forest products have originated from a forest certified to CAN/CSA-Z809 SFM and have been verified to the Canadian Standards Association (CSA) Chain-of-Custody requirements through an independent third party audit. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Canadian Standards Association, Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/csa-sustainable-forest-management.png,"Forest products / Paper, Canada, France"
CSRR Quality Standard,"The Corporate Sustainability and Responsibility Research (CSRR) Quality Standard certifies research corporations that undertake CSR Research.These companies deliver profiles and ratings to the SRI (Social Responsible Investment sector). One of the requirements for passing the standard is covering system or group factors such as quality management systems, HR and complaint management.They must also must cover research aspects such as up to datedness, independence, objective resources and balance.One of the requirements is that the research should be balanced, in quantitative as well as qualitative data and in environmental and social data. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Corporate Sustainability and Responsibility Research, Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/csrr-quality-standard.png,"Financial services, Professional, scientific and technical services, Australia"
Danish Indoor Climate Label,"The Danish Indoor Climate label is a tool for development and selection of indoor air quality friendly products and better understanding of the impact of products and materials on the indoor air quality in buildings. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Danish Indoor Climate Labelling, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/danish-indoor-climate-label.png,"Building products, Buildings, Furniture"
Danish Ø-mark,"The designation ‘organic' (økologisk) and the Danish eco-label (the red Ø symbol) may only be used on milk, meats, eggs,cereals, vegetables etc. from farms authorised for organic production.The Department of Organic Farming checks that organic farms complywith the rules applicable to both organic plant and animal husbandry.They inspect enterprises producing or marketing organic feeding stuffs, seeds and cereals, fertilisers and other non-food products. Certification/ registration required, Unknown, Danish Plant Directorate, Department of Organic Farming, Unknown, Government, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/danish-o-mark.png,"Food, Denmark"
David Bellamy Conservation Award,"Ecolabel for holiday parks, caravan and camping sites and park home estates based on specific measures and management criteria. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, UK Conservation Foundation, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/david-bellamy-conservation-award.png,"Buildings, Tourism, United Kingdom"
Declare,"The goal of Declare is to position the building product sector within a transparent materials economy.Declare is an ingredients label for building products, paired with an online database. It allows manufacturers to demonstrate their leadership in the marketplace and it provides consumers with honest information for product selection.All products are eligible for inclusion, regardless of their composition; the key to Declare is honest information sharing. Information about each product has been declared by the Manufacturer’s CEO to be true. This database is provided by the International Living Future Institute (ILFI) as a tool for registered project teams. Products are not endorsed or certified by ILFI. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, International Living Future Institute, Unknown, Non-profit, Just",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrxSSRE-CUUgkTdLXxL_ieMTxwh7NoGFHI4w&s,"Building products, Australia, Canada"
Degree of Green,"The Degree of Green® rating program aims at helping consumers by rating products and explaining those ratings in clear language.At the core of Degree of Green® are data sheets that detail the environmental, health and sustainability attributes of various products. A top rating of 4 goes to products that have:the least adverse effects on human healththe highest level of environmental sustainabilitythe least adverse effects on the environmentEach Degree of Green® report describes a product, its composition, advantages and raw materials sourcing, and offers comparative data.Retailers who participate in the Degree of Green® program will be able to share the program's knowledge base with their consumers. Certification/ registration required, Applicants register for the ecolabel in order to use the label (but certification is not required), Degree of Green, LLC, None, Other, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/degree-of-green.png,"Building products, Cleaning products, Cosmetics / Personal care"
Delinat Bio Garantie,"Delinat Bio Garantie is a product label for the company Delinat, which makes wine from controlled organic production.
The Delinat standards are centered around the concept of ""biodiversity"" and go beyond the general organic standards to include social requirements.The following requirements must be met:-all organic-certified grapes-biological management of the entire vineyard area-economical use of fertilization in closed loop-maintained green throughout the year (except for dry areas)-no synthetic pesticides or fertilizers. The use of copper is limited to 4 kg per hectare and year. The goal is to replace them with alternatives, and to use mushroom-tolerant varieties. Sulfur may be used only in low concentrations.-each wine must pass the taste test of a tasting commission-only local (europena) wines Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Delinat, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/delinat.png,"Food, Other, Austria"
Demeter Biodynamic,"Demeter Biodynamic® is a certification indicating that Biodynamic farming practices have been used.In an effort to keep the farm, the farmer, the consumer, and the earth healthy, Biodynamic farmers strictly avoid all synthetic chemical pesticides, fertilizers, and transgenic contamination, stressing farm generated, living solutions to pest control and fertility instead, and setting aside a minimum of 10% of their total acreage for biodiversity. The entire farm, versus a particular crop, must be certified. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Demeter USA, IFOAM, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/Demeter-USA.png,"Cosmetics / Personal care, Food, Forest products / Paper"
Deutsches Güteband Wein (DLG),"The DLG quality label German Ribbon of Quality for Wine (Deutsches Güteband Wein) sets quality standards for wine that go beyond the statutory requirements. In addition to sensory demands made of the wine, the label also covers requirements regarding wine growing and further processing of the wine. Wine growing must be pursued in an environmentally sound manner, with restricted use of pesticides, herbicides, or fertilisers. This ensures long-term preservation of the vineyard habitat. This label offers consumers good orientation in selecting high quality wines that are cultivated in environmentally sound conditions Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Deutsche Landwirtschafts-Gesellschaft (DLG), Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/deutsches-guteband-wein-dlg.png,"Food, Germany"
DGNB Certificate,"The DGNB Certification System was developed by the German Sustainable Building Council (DGNB) together with the Federal Ministry of Transport, Building, and Urban Affairs (BMVBS) to be used as a tool for the planning and evaluation of buildings in a comprehensive quality perspective. It is designed as a rating system and covers all relevant topics of sustainable construction.Awards  within this certification scheme are given in categories of bronze, silver, and gold.Six impact areas and fields are considered during evaluation: ecology, economy, social-cultural and functional topics, techniques, processes, and location. Certification/ registration required, Applicants register for the ecolabel in order to use the label (but certification is not required), German Sustainable Building Council - Deutsche Gesellschaft für nachhaltiges Bauen e.V, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/dgnb-certificate.png,"Buildings, Germany"
DIN-Geprüft,"Certification mark for Additives (e.g. printing inks, colours, adhaesives etc.) used for compostable products on basis of EN 13432 / ASTM 6400)also for compostable products e.g. packaging Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, DIN CERTCO Gesellschaft für Konformitätsbewertung mbH / TÜV Rheinland, Unknown, Other, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/din-gepruft.png,"Electronics, Other, Argentina"
Dolphin Safe / Dolphin Friendly,"The Earth Island Institute monitors tuna companies around the world to ensure the tuna is caught by methods that do not harm dolphins and protect the marine ecosystem. In order for tuna to be considered “Dolphin Safe”, it must meet the following standards:

1. No intentional chasing, netting or encirclement of dolphins during an entire tuna fishing trip;
2. No use of drift gill nets to catch tuna; 
3. No accidental killing or serious injury to any dolphins during net sets;
4. No mixing of dolphin-safe and dolphin-deadly tuna in individual boat wells (for accidental kill of dolphins), or in processing or storage facilities; and
5. Each trip in the Eastern Tropical Pacific Ocean (ETP) by vessels 400 gross tons and above must have an independent observer on board attesting to the compliance with points (1) through (4) above. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Earth Island Institute, ISO, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/dolphin-safe.png,"Fish / Fisheries, Food, American Samoa"
DUBOkeur,"In 2004 NIBE developed a quality label to compare the environmental friendliness of multiple building products. The DUBOkeur® label is meant to certify the best choices of a product in the fields of environmental and health.In order to do this, the environmental impact of a product in relationship to other products is tested through NIBE’s Twin-model. The most eco-friendly product is classified in environmental class 1a, the environmental reference. The other product’s class is related to reference, with class 7 as the biggest polluters. In principle the products in the classes 1 and 2 are considered for a DUBOkeur®. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, NIBE, Other, For-profit, None.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkx3Au-nqePG7a5l8XjEiO7VU2Bit3mhGtAw&s,"Building products, Commodities, Belgium"
e-Stewards Certification,"e-Stewards Certification is a global program designed to enable individuals and organizations who dispose of their old electronic equipment to easily identify recyclers that adhere to the highest standard of environmental responsibility and worker protection.e-Stewards Certification is open to electronics recyclers, refurbishers and processors in all developed countries. Certified e-Stewards recyclers adhere to the e-Stewards Standard for Responsible Recycling and Reuse of Electronic Equipment®; written by the environmental community with leaders in the industry to protect human health and the global environment. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Basel Action Network, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/e-stewards.png,"Electronics, Waste management & Recycling, Canada"
Earth Advantage,"Earth Advantage Institute is a nonprofit organization that works with the building industry to help implement sustainable building practices.The organization provides certification of high performance homes, remodels, sustainable communities and commercial spaces. Their certification programs are designed to provide homeowners and developers with the assurance that their home, community or office is performing at high levels of energy efficiency while offering the comfort and confidence of a healthy environment and wise resource use.Their mission is to advance green building science and create an immediate, practical and cost-effective path to sustainability and reduction of carbon in the built environment. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Earth Advantage, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/earth-advantage.png,"Buildings, United States"
EarthCheck,"EarthCheck is a benchmarking certification and advisory group for travel and tourism. Since 1987, EarthCheck have helped businesses, communities and governments to deliver clean, safe, prosperous and healthy destinations for travellers to visit, live, work and play. EarthCheck's approach has been to help operators break resource challenges into manageable actions that can be taken forward by management teams starting with the recognition that you can’t manage what you don’t measure. EarthCheck has over fifteen years of evidence research on operational performance. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, EarthCheck, Other, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/earthcheck.png,"Buildings, Carbon, Tourism"
EarthRight Business Certification,"The EarthRight standards are structured to serve as practical and instructive guidelines for organizations interested in taking a proactive, staged approach to improving their environmental stewardship and financial performance. There are three achievement levels: EarthRight Silver, Gold and Green; each increasingly signifies more commitment, stakeholder engagement, and impact reduction achievement. These three levels have been crafted to guide organizations through the development of a meaningful sustainability program, providing you with a roadmap for your company’s efforts. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, EarthRight Business Institute, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/earthright-business-certification.png,"Other, Canada, United States"
Earthsure,"The purpose of the Earth sure program is to provide comprehensive environmental data to purchasers (business and individuals) so that the power of the market can moves the economy towards overall environmental improvement.Earth Sure environmental product declarations (EPDs) can cover a portion of the life cycle of a product or an entire life cycle. Products in any sector can obtain EPDs as the Earth sure program has codes for all sectors of the economy. The Earth sure ecolabel discloses the environmental impact indicator results of the creation of each product. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Institute for Environmental Research and Education, Unknown, Non-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/earthsure.png,"Appliances, Building products, Buildings"
ECMA-370 - The Eco Declaration,"Specifies environmental attributes and measurement methods for ICT and CE products according to known regulations, standards, guidelines and currently accepted practices. It includes a company environmental profile, and environmental product attributes. Certification/ registration required, Unknown, Ecma International, ISO, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/ecma-370-the-eco-declaration.png,Electronics
ECO certification,"ECO certification is an ecolabel given out by the Malta Tourism Authority to hotels on the islands of Malta. Approximately 15% of hotels on the Maltese Islands are ECO certified translating to almost 30% of hotel rooms.To participate, hotels must comply with a number of criteria all aimed at improving their environmental performance and increasing environmental awareness amongst employees.The following are the main areas covered by the criteria: environmental management, waste management, procurement, energy, water, air quality, noise, building and green areas, local culture, and information dissemination. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Malta Tourism Authority, Other, Other, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/eco-certification.png,"Tourism, Malta"
Eco Warranty,"Eco Warranty is an Environmental Management Standard (EMS) designed as an alternative to ISO 14001. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Warranty Standards Limited, None, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/eco-warranty.png,New Zealand
eco-INSTITUT-Label,"With substantial emission and toxicological testing living up to more than just the legal specifications, eco-Institut supplies clients a reliable and significant label for building products and textiles without any health hazards. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, eco-INSTITUT Germany GmbH, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/eco-institut.png,"Building products, Furniture, Textiles"
Eco-Leaf,"The eco-leaf is an environmental product declaration based on a life cycle analysis consisting of three parts:a product environmental aspects declaration;a product environmental information data sheet;the product data sheet. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Japan Environmental Management Association for Industry (JEMAI), ISO, Other, Other, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/eco-leaf-japan.png,"Appliances, Building products, Electronics"
Eco-Living seal,"The eco-living seal is a private label for Living Direct, an online retail company, specializing inconsumer appliances, indoor air quality products, and lawn and gardenfurniture.  the eco-living seal is awarded to products that meet eco-friendly standards and are certified by Energy Star, RoHS, and HEPA. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Living Direct, Inc, Unknown, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/eco-living-seal.png,"Electronics, United States"
Eco-Rail Mark,"Launched by the Japanese Ministry of Land, Infrastructure and Transport, this  ecolabel indicates certified products and companies that actively make an effort to protect the environment through a modal shift to rail transportation.Eco-Rail certified products travels solely on land or, if not, at least 500 kilometers on land and 30% or more of the goods are carried on railways. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Japanese Ministry of Land, Infrastructure and Transport, Unknown, Government, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/eco-rail-mark.png,"Building products, Cleaning products, Electronics"
Eco-Schools,"A programme for environmental management and certification, and sustainable development education, for schools. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Eco-Schools International Coordination, Unknown, Non-profit, Blue Flag",https://www.ecolabelindex.com/files/ecolabel-logos-sized/eco-schools.png,"Buildings, Other, Bahamas"
Eco3Home,"Eco3Home is a label for home furnishings in the USA. Products are manufactured by companies that commit to all three initiatives (health, safety, and environment) to achieve the label. This means they are working to incorporate eco-friendly business practices into:Core manufacturing operationsGlobal operationsProduct design and development Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, American Home Furnishings Alliance, Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/eco-3-home.png,"Furniture, United States"
EcoBroker,"The EcoBroker logo is a symbol of environmentally responsible and sustainable practices in the real estate industry.EcoBroker Certified real estate agents receive additional training on energy and environmental issues that relate to real estate transactions.EcoBrokers help sellers effectively market properties with green features, and help buyers find homes with the green features they care about. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, EcoBroker International, Unknown, Industry association, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/ecobroker.png,"Other, United States"
Ecocert,"Ecocert is a certification body for sustainable development. It is an inspection and certification body established in France by agronomists aware of the need to develop environmentally friendly agriculture and of the importance of offering some form of recognition to those committed to this method of production. From its creation, Ecocert is specialized in the certification of organic agricultural products. Ecocert has contributed to the expansion of organic farming. Certification/ registration required, Applicants are certified against the ecolabels’s criteria before using the label, Ecocert Group, ISO, For-profit, None.",https://www.ecolabelindex.com/files/ecolabel-logos-sized/ecocert.png,"Cosmetics / Personal care, Food, Textiles"
